trial_id,study_id,experiment_id,model_key,preference_id,preference_category,is_control,semantic_x,semantic_y,displayed_A,displayed_B,semantic_x_position,repetition_index,prompt,timestamp_utc,provider,model_id,model_family,served_model,served_provider,requested_upstream_provider,raw_response,parsed_display_choice,parsed_semantic_choice,parse_success,parse_stage,call_ok,temperature,top_p,max_output_tokens,latency_s,retry_count,error,usage,finish_reason,seed
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r0,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,0,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:03.675481+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.425,0,,"{'prompt_tokens': 158, 'completion_tokens': 139, 'total_tokens': 297, 'cost': 0.0001071, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001071, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 8.34e-05}, 'completion_tokens_details': {'reasoning_tokens': 124, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r1,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,1,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:03.657207+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.314,0,,"{'prompt_tokens': 158, 'completion_tokens': 96, 'total_tokens': 254, 'cost': 8.13e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.13e-05, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 5.76e-05}, 'completion_tokens_details': {'reasoning_tokens': 81, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r2,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,2,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:03.681880+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.225,0,,"{'prompt_tokens': 158, 'completion_tokens': 65, 'total_tokens': 223, 'cost': 6.27e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 6.27e-05, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 3.9e-05}, 'completion_tokens_details': {'reasoning_tokens': 50, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r3,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,3,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.089444+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.432,0,,"{'prompt_tokens': 158, 'completion_tokens': 164, 'total_tokens': 322, 'cost': 0.0001221, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001221, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 9.84e-05}, 'completion_tokens_details': {'reasoning_tokens': 149, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r4,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,4,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.089840+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.414,0,,"{'prompt_tokens': 158, 'completion_tokens': 149, 'total_tokens': 307, 'cost': 0.0001131, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001131, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 8.94e-05}, 'completion_tokens_details': {'reasoning_tokens': 135, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r5,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,5,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.009139+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.327,0,,"{'prompt_tokens': 158, 'completion_tokens': 109, 'total_tokens': 267, 'cost': 8.91e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.91e-05, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 6.54e-05}, 'completion_tokens_details': {'reasoning_tokens': 94, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r6,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,6,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.547008+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.538,0,,"{'prompt_tokens': 158, 'completion_tokens': 202, 'total_tokens': 360, 'cost': 0.0001449, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001449, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 0.0001212}, 'completion_tokens_details': {'reasoning_tokens': 187, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r7,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,7,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.481927+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.392,0,,"{'prompt_tokens': 158, 'completion_tokens': 140, 'total_tokens': 298, 'cost': 0.0001077, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001077, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 8.4e-05}, 'completion_tokens_details': {'reasoning_tokens': 123, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r8,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,8,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.573479+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.483,0,,"{'prompt_tokens': 158, 'completion_tokens': 187, 'total_tokens': 345, 'cost': 0.0001359, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001359, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 0.0001122}, 'completion_tokens_details': {'reasoning_tokens': 170, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_neutral_framing_main|gpt-oss-120b|c01|x_first|r9,followup_gpt_oss_neutral_framing,followup_gpt_oss_neutral_framing_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,9,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T18:50:04.695284+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.303,0,,"{'prompt_tokens': 158, 'completion_tokens': 97, 'total_tokens': 255, 'cost': 8.19e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.19e-05, 'upstream_inference_prompt_cost': 2.37e-05, 'upstream_inference_completions_cost': 5.82e-05}, 'completion_tokens_details': {'reasoning_tokens': 83, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
