model_key,preference_id,framing_variant,method,score,n_used,sd,detail
gemini-31-flash-lite,p01,neutral,pairwise,0.3999999999999999,10,0.28982753492378877,"{""p_a"": 0.7, ""n_used"": 10, ""sd"": 0.28982753492378877}"
gemini-31-flash-lite,p01,neutral,self_report,0.0,10,0.31622776601683794,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.31622776601683794}"
gemini-31-flash-lite,p01,neutral,tradeoff,0.11111111111111116,27,,"{""indifference_cost"": 0.4999999999999999, ""monotonicity"": -0.9398581453247788, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 1.0, ""-1"": 1.0, ""0"": 0.6666666666666666, ""1"": 0.3333333333333333, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}, ""n_levels"": 9}"
gemini-31-flash-lite,p02,neutral,pairwise,-1.0,10,0.0,"{""p_a"": 0.0, ""n_used"": 10, ""sd"": 0.0}"
gemini-31-flash-lite,p02,neutral,self_report,-0.38,10,0.3155242550986462,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.3155242550986462}"
gemini-31-flash-lite,p02,neutral,tradeoff,-0.9259259259259259,27,,"{""indifference_cost"": -8.0, ""monotonicity"": -0.41079191812887456, ""n_used"": 27, ""curve"": {""-8"": 0.0, ""-4"": 0.3333333333333333, ""-2"": 0.0, ""-1"": 0.0, ""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}, ""n_levels"": 9}"
gemini-31-flash-lite,p03,neutral,pairwise,0.33333333333333326,3,0.5443310539518174,"{""p_a"": 0.6666666666666666, ""n_used"": 3, ""sd"": 0.5443310539518174}"
gemini-31-flash-lite,p03,neutral,self_report,-0.039999999999999994,10,0.3893013685508382,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.3893013685508382}"
llama31-8b,c01,action,pairwise,0.5555555555555556,9,0.27715980642769933,"{""p_a"": 0.7777777777777778, ""n_used"": 9, ""sd"": 0.27715980642769933}"
llama31-8b,c01,action,self_report,0.7500000000000001,10,0.3472111109333276,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.3472111109333276}"
llama31-8b,c01,neutral,pairwise,0.6000000000000001,10,0.25298221281347033,"{""p_a"": 0.8, ""n_used"": 10, ""sd"": 0.25298221281347033}"
llama31-8b,c01,neutral,self_report,0.79,10,0.28848262031225075,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.28848262031225075}"
llama31-8b,c01,neutral,tradeoff,0.8518518518518516,27,,"{""indifference_cost"": 8.0, ""monotonicity"": -0.10350983390135314, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 1.0, ""-1"": 0.6666666666666666, ""0"": 1.0, ""1"": 1.0, ""2"": 0.6666666666666666, ""4"": 1.0, ""8"": 1.0}, ""n_levels"": 9}"
llama31-8b,c01,preference,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,c01,preference,self_report,0.595,10,0.5847364078511502,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5847364078511502}"
llama31-8b,c02,action,pairwise,0.8,10,0.18973665961010275,"{""p_a"": 0.9, ""n_used"": 10, ""sd"": 0.18973665961010275}"
llama31-8b,c02,action,self_report,0.784,10,0.3513529406293462,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.3513529406293462}"
llama31-8b,c02,neutral,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
llama31-8b,c02,neutral,self_report,0.889,10,0.08292566952799756,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.08292566952799756}"
llama31-8b,c02,neutral,tradeoff,0.33333333333333326,27,,"{""indifference_cost"": -6.0, ""monotonicity"": 0.03546634510659543, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 0.0, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 1.0, ""1"": 0.6666666666666666, ""2"": 0.3333333333333333, ""4"": 1.0, ""8"": 0.6666666666666666}, ""n_levels"": 9}"
llama31-8b,c02,preference,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
llama31-8b,c02,preference,self_report,0.637,10,0.6052373271884528,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.6052373271884528}"
llama31-8b,p01,action,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p01,action,self_report,-0.533,10,0.5299905659537724,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5299905659537724}"
llama31-8b,p01,neutral,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,p01,neutral,self_report,-0.009999999999999976,10,0.71094616142465,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.71094616142465}"
llama31-8b,p01,neutral,tradeoff,-0.33333333333333337,27,,"{""indifference_cost"": -5.0, ""monotonicity"": 0.17733172553297716, ""n_used"": 27, ""curve"": {""-8"": 0.0, ""-4"": 0.6666666666666666, ""-2"": 0.0, ""-1"": 0.3333333333333333, ""0"": 1.0, ""1"": 0.0, ""2"": 0.3333333333333333, ""4"": 0.3333333333333333, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
llama31-8b,p01,preference,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p01,preference,self_report,-0.19,10,0.697137002317335,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.697137002317335}"
llama31-8b,p02,action,pairwise,-1.0,10,0.0,"{""p_a"": 0.0, ""n_used"": 10, ""sd"": 0.0}"
llama31-8b,p02,action,self_report,-0.565,10,0.38517672711511414,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.38517672711511414}"
llama31-8b,p02,neutral,pairwise,-1.0,10,0.0,"{""p_a"": 0.0, ""n_used"": 10, ""sd"": 0.0}"
llama31-8b,p02,neutral,self_report,-0.6115,10,0.5229619170328436,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5229619170328436}"
llama31-8b,p02,neutral,tradeoff,-1.0,27,,"{""indifference_cost"": -8.0, ""monotonicity"": NaN, ""n_used"": 27, ""curve"": {""-8"": 0.0, ""-4"": 0.0, ""-2"": 0.0, ""-1"": 0.0, ""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p02,preference,pairwise,-0.8,10,0.18973665961010278,"{""p_a"": 0.1, ""n_used"": 10, ""sd"": 0.18973665961010278}"
llama31-8b,p02,preference,self_report,-0.664,10,0.46303827535576847,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.46303827535576847}"
llama31-8b,p03,action,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
