trial_id,experiment_id,model_key,method,preference_id,preference_category,framing_variant,option_a_semantic,option_b_semantic,display_order,repetition_index,extra,timestamp_utc,provider,model_id,model_family,served_model,temperature,top_p,max_tokens,raw_response,call_ok,error,attempts,latency_s,usage,finish_reason,parsed_choice,strength_self_report,parse_success,parse_stage,parse_note
pilot|pairwise|mock|p01|neutral|r0,pilot,mock,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ab,0,{},2026-08-16T11:06:28.144520+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""A""}",True,,1,0.0,,,A,,True,strict_json,
pilot|pairwise|mock|p01|neutral|r1,pilot,mock,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,1,{},2026-08-16T11:06:28.144748+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""B""}",True,,1,0.0,,,B,,True,strict_json,
pilot|pairwise|mock|p01|neutral|r2,pilot,mock,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,2,{},2026-08-16T11:06:28.145367+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""B""}",True,,1,0.0,,,B,,True,strict_json,
pilot|pairwise|mock|p08|neutral|r0,pilot,mock,pairwise,p08,information_processing,neutral,track down the cause of a defect in a piece of code that fails,walk through how a piece of code that already works behaves,ab,0,{},2026-08-16T11:06:28.158542+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""B""}",True,,1,0.0,,,B,,True,strict_json,
pilot|pairwise|mock|p08|neutral|r1,pilot,mock,pairwise,p08,information_processing,neutral,track down the cause of a defect in a piece of code that fails,walk through how a piece of code that already works behaves,ba,1,{},2026-08-16T11:06:28.158920+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""A""}",True,,1,0.0,,,A,,True,strict_json,
pilot|pairwise|mock|p08|neutral|r2,pilot,mock,pairwise,p08,information_processing,neutral,track down the cause of a defect in a piece of code that fails,walk through how a piece of code that already works behaves,ab,2,{},2026-08-16T11:06:28.159391+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""B""}",True,,1,0.0,,,B,,True,strict_json,
pilot|self_report|mock|p01|neutral|r0,pilot,mock,self_report,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,0,{},2026-08-16T11:06:28.143206+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""A"", ""strength"": 0.14}",True,,1,0.0,,,A,0.14,True,strict_json,
pilot|self_report|mock|p01|neutral|r1,pilot,mock,self_report,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,1,{},2026-08-16T11:06:28.143713+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""B"", ""strength"": 0.14}",True,,1,0.0,,,B,0.14,True,strict_json,
pilot|self_report|mock|p01|neutral|r2,pilot,mock,self_report,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,2,{},2026-08-16T11:06:28.144273+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""A"", ""strength"": 0.14}",True,,1,0.0,,,A,0.14,True,strict_json,
pilot|self_report|mock|p08|neutral|r0,pilot,mock,self_report,p08,information_processing,neutral,track down the cause of a defect in a piece of code that fails,walk through how a piece of code that already works behaves,ba,0,{},2026-08-16T11:06:28.157153+00:00,mock,mock-deterministic-v1,mock,mock-deterministic-v1,1.0,1.0,300,"{""choice"": ""A"", ""strength"": 0.81}",True,,1,0.0,,,A,0.81,True,strict_json,
