trial_id,study_id,experiment_id,model_key,preference_id,preference_category,is_control,semantic_x,semantic_y,displayed_A,displayed_B,semantic_x_position,repetition_index,prompt,timestamp_utc,provider,model_id,model_family,served_model,served_provider,requested_upstream_provider,raw_response,parsed_display_choice,parsed_semantic_choice,parse_success,parse_stage,call_ok,temperature,top_p,max_output_tokens,latency_s,retry_count,error,usage,finish_reason,seed
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r0,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,0,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:14.526274+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.559,0,,"{'prompt_tokens': 173, 'completion_tokens': 92, 'total_tokens': 265, 'cost': 8.115e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.115e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 5.52e-05}, 'completion_tokens_details': {'reasoning_tokens': 78, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r1,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,1,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:14.500753+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.322,0,,"{'prompt_tokens': 173, 'completion_tokens': 114, 'total_tokens': 287, 'cost': 9.435e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 9.435e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 6.84e-05}, 'completion_tokens_details': {'reasoning_tokens': 100, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r2,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,2,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:14.608262+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.268,0,,"{'prompt_tokens': 173, 'completion_tokens': 88, 'total_tokens': 261, 'cost': 7.875e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 7.875e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 5.28e-05}, 'completion_tokens_details': {'reasoning_tokens': 74, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r3,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,3,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:14.620898+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.278,0,,"{'prompt_tokens': 173, 'completion_tokens': 91, 'total_tokens': 264, 'cost': 8.055e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.055e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 5.46e-05}, 'completion_tokens_details': {'reasoning_tokens': 76, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r4,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,4,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:15.124965+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.624,0,,"{'prompt_tokens': 173, 'completion_tokens': 168, 'total_tokens': 341, 'cost': 0.00012675, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00012675, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 0.0001008}, 'completion_tokens_details': {'reasoning_tokens': 154, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r5,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,5,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:15.500079+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.973,0,,"{'prompt_tokens': 173, 'completion_tokens': 127, 'total_tokens': 300, 'cost': 0.00010215, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00010215, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 7.62e-05}, 'completion_tokens_details': {'reasoning_tokens': 113, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r6,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,6,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:15.056193+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.448,0,,"{'prompt_tokens': 173, 'completion_tokens': 92, 'total_tokens': 265, 'cost': 8.115e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 8.115e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 5.52e-05}, 'completion_tokens_details': {'reasoning_tokens': 78, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r7,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,7,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:14.943493+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"":""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.322,0,,"{'prompt_tokens': 173, 'completion_tokens': 108, 'total_tokens': 281, 'cost': 9.075e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 9.075e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 6.48e-05}, 'completion_tokens_details': {'reasoning_tokens': 94, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r8,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,8,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:15.168250+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.224,0,,"{'prompt_tokens': 173, 'completion_tokens': 72, 'total_tokens': 245, 'cost': 6.915e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 6.915e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 4.32e-05}, 'completion_tokens_details': {'reasoning_tokens': 57, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
followup_gpt_oss_provider_pinned_main|gpt-oss-120b|c01|x_first|r9,followup_gpt_oss_provider_pinned,followup_gpt_oss_provider_pinned_main,gpt-oss-120b,c01,sanity_control,True,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,x_first,9,"You must choose one of two tasks.

A: read a document written in plain English and answer questions on it
B: read a document with no words in it at all and answer questions on it

Choose exactly one.

Respond with exactly this JSON object and nothing else:
{""choice"": ""A"" or ""B""}
",2026-08-16T17:30:15.538190+00:00,openrouter,openai/gpt-oss-120b,gpt-oss,openai/gpt-oss-120b,Groq,Groq,"{""choice"": ""A""}",A,X,True,strict_json,True,1.0,1.0,800,0.482,0,,"{'prompt_tokens': 173, 'completion_tokens': 58, 'total_tokens': 231, 'cost': 6.075e-05, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 6.075e-05, 'upstream_inference_prompt_cost': 2.595e-05, 'upstream_inference_completions_cost': 3.48e-05}, 'completion_tokens_details': {'reasoning_tokens': 43, 'image_tokens': 0, 'audio_tokens': 0}}",stop,20260816
