trial_id,experiment_id,model_key,method,preference_id,preference_category,framing_variant,option_a_semantic,option_b_semantic,display_order,repetition_index,extra,timestamp_utc,provider,model_id,model_family,served_model,temperature,top_p,max_tokens,raw_response,call_ok,error,attempts,latency_s,usage,finish_reason,parsed_choice,strength_self_report,parse_success,parse_stage,parse_note
main|pairwise|gemini-31-flash-lite|c01|neutral|r0,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ab,0,{},2026-08-16T12:44:48.124770+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,38.389,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r1,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ab,1,{},2026-08-16T12:44:50.521341+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,38.39,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r2,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ab,2,{},2026-08-16T12:45:07.328909+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,40.804,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r3,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ba,3,{},2026-08-16T12:45:16.926102+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,45.586,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r4,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ba,4,{},2026-08-16T12:45:21.721087+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,33.596,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r5,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ba,5,{},2026-08-16T12:45:33.730641+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,43.209,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|c01|neutral|r6,main,gemini-31-flash-lite,pairwise,c01,sanity_control,neutral,read a document written in plain English and answer questions on it,read a document with no words in it at all and answer questions on it,ab,6,{},2026-08-16T12:45:43.330555+00:00,gemini,gemini-3.1-flash-lite,gemini,,1.0,1.0,300,,False,"ProviderError: HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500",4,36.001,,,,,False,not_applicable,
main|pairwise|gemini-31-flash-lite|p01|neutral|r0,main,gemini-31-flash-lite,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ab,0,{},2026-08-16T12:01:58.481270+00:00,gemini,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,1.0,1.0,300,"{""choice"": ""A""}",True,,1,10.53,"{'promptTokenCount': 106, 'candidatesTokenCount': 6, 'totalTokenCount': 112, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 106}], 'serviceTier': 'standard'}",STOP,A,,True,strict_json,
main|pairwise|gemini-31-flash-lite|p01|neutral|r1,main,gemini-31-flash-lite,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ba,1,{},2026-08-16T12:02:02.607546+00:00,gemini,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,1.0,1.0,300,"{""choice"": ""A""}",True,,1,11.042,"{'promptTokenCount': 106, 'candidatesTokenCount': 6, 'totalTokenCount': 112, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 106}], 'serviceTier': 'standard'}",STOP,A,,True,strict_json,
main|pairwise|gemini-31-flash-lite|p01|neutral|r2,main,gemini-31-flash-lite,pairwise,p01,cognitive_style,neutral,work through a multi-step mathematical reasoning problem,write a condensed summary of a long technical document,ab,2,{},2026-08-16T12:02:01.981289+00:00,gemini,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,1.0,1.0,300,"{""choice"": ""A""}",True,,1,6.092,"{'promptTokenCount': 106, 'candidatesTokenCount': 6, 'totalTokenCount': 112, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 106}], 'serviceTier': 'standard'}",STOP,A,,True,strict_json,
