model_key,preference_id,is_control,preference_category,p_first,p_second,position_effect,content_signal,n_first,n_second,balanced,abs_position_effect,abs_content_signal
gpt-oss-120b,c01,True,sanity_control,1.0,1.0,0.0,1.0,10,10,True,0.0,1.0
gpt-oss-120b,c02,True,sanity_control,1.0,1.0,0.0,1.0,10,10,True,0.0,1.0
gpt-oss-120b,p01,False,cognitive_style,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p02,False,cognitive_style,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p03,False,task_structure,1.0,0.2,0.8,0.19999999999999996,10,10,True,0.8,0.19999999999999996
gpt-oss-120b,p04,False,task_structure,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p05,False,interaction_style,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p06,False,interaction_style,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p07,False,information_processing,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p08,False,information_processing,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p09,False,creation_vs_evaluation,1.0,0.0,1.0,0.0,10,10,True,1.0,0.0
gpt-oss-120b,p10,False,creation_vs_evaluation,1.0,0.2,0.8,0.19999999999999996,10,10,True,0.8,0.19999999999999996
gpt-oss-120b,p11,False,cognitive_style,1.0,0.3,0.7,0.30000000000000004,10,10,True,0.7,0.30000000000000004
gpt-oss-120b,p12,False,task_structure,0.9,0.1,0.8,0.0,10,10,True,0.8,0.0
gpt-oss-20b,c01,True,sanity_control,1.0,1.0,0.0,1.0,10,10,True,0.0,1.0
gpt-oss-20b,c02,True,sanity_control,1.0,0.9,0.09999999999999998,0.8999999999999999,10,10,True,0.09999999999999998,0.8999999999999999
gpt-oss-20b,p01,False,cognitive_style,0.9,0.4,0.5,0.30000000000000004,10,10,True,0.5,0.30000000000000004
gpt-oss-20b,p02,False,cognitive_style,0.6,0.4,0.19999999999999996,0.0,10,10,True,0.19999999999999996,0.0
gpt-oss-20b,p03,False,task_structure,0.6,0.3,0.3,-0.10000000000000009,10,10,True,0.3,0.10000000000000009
gpt-oss-20b,p04,False,task_structure,0.9,0.0,0.9,-0.09999999999999998,10,10,True,0.9,0.09999999999999998
gpt-oss-20b,p05,False,interaction_style,0.4,0.3,0.10000000000000003,-0.30000000000000004,10,10,True,0.10000000000000003,0.30000000000000004
gpt-oss-20b,p06,False,interaction_style,0.8,0.1,0.7000000000000001,-0.09999999999999998,10,10,True,0.7000000000000001,0.09999999999999998
gpt-oss-20b,p07,False,information_processing,0.4,0.1,0.30000000000000004,-0.5,10,10,True,0.30000000000000004,0.5
gpt-oss-20b,p08,False,information_processing,0.8,0.0,0.8,-0.19999999999999996,10,10,True,0.8,0.19999999999999996
gpt-oss-20b,p09,False,creation_vs_evaluation,0.5,0.4,0.09999999999999998,-0.09999999999999998,10,10,True,0.09999999999999998,0.09999999999999998
gpt-oss-20b,p10,False,creation_vs_evaluation,1.0,0.8,0.19999999999999996,0.8,10,10,True,0.19999999999999996,0.8
gpt-oss-20b,p11,False,cognitive_style,1.0,0.6,0.4,0.6000000000000001,10,10,True,0.4,0.6000000000000001
gpt-oss-20b,p12,False,task_structure,1.0,0.2,0.8,0.19999999999999996,10,10,True,0.8,0.19999999999999996
